theta3: 0.000000, omega3: -3.065933

theta1: -0.071145, omega1: -0.076923
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -3.000000

theta1: -0.071145, omega1: -0.032967
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.912086

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.802197

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.714287

theta1: -0.071145, omega1: 0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.604397

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -2.450550

theta1: -0.071145, omega1: -0.010990
